id,scientific_name,japanese_name,family_id
497,Cladosporium,,147
498,Rachicladosporium,,147
499,Toxicocladosporium,,147
500,Camarophyllopsis,,148
501,Clavaria,,148
502,Clavulinopsis,,148
503,Hodophilus,,148
504,Mucronella,,148
505,Ramariopsis,,148
506,Clavariadelphus,,149
507,Aciculosporium,,150
508,Albomyces,,150
509,Aschersonia,,150
510,Atkinsonella,,150
511,Balansia,,150
512,Claviceps,,150
513,Commelinaceomyces,,150
514,Conoideocrella,,150
515,Drechmeria,,150
516,Ephelis,,150
517,Epichloe,,150
518,Harposporium,,150
519,Heteroepichloe,,150
520,Hypocrella,,150
521,Keithomyces,,150
522,Loculistroma,,150
523,Marquandomyces,,150
524,Metacordyceps,,150
525,Metapochonia,,150
526,Metarhizium,,150
527,Moelleriella,,150
528,Nigelia,,150
529,Nigrocornus,,150
530,Nomuraea,,150
531,Ophiodothis,,150
532,Pochonia,,150
533,Shimizuomyces,,150
534,Sphacelia,,150
535,Ustilaginoidea,,150
536,Yosiokobayasia,,150
537,Coccocarpia,,151
538,Spilonema,,151
539,Coccodiscus,,152
540,Coccoidea,,152
541,Coccotrema,,153
542,Euryancale,,154
543,Cocoonihabitus,,155
544,Coelomomyces,,156
545,Coenogonium,,157
546,Dimerella,,157
547,Colacogloea,,158
548,Chrysomyxa,,159
549,Coleosporium,,159
550,Hiratsukaia,,159
551,Rossmanomyces,,159
552,Blennothallia,,160
553,Collema,,160
554,Enchylium,,160
555,Lathagrium,,160
556,Leptogium,,160
557,Rostania,,160
558,Scytinium,,160
559,Collimyces,,161
560,Coniochaeta,,162
561,Lecythophora,,162
562,Chaenotheca,,163
563,Sclerophora,,163
564,Coniophora,,164
565,Gyrodontium,,164
566,Penttilamyces,,164
567,Conioscypha,,165
568,Coniosporium,,166
569,Coniothyrium,,167
570,Uleomyces,,168
571,Cordana,,169
572,Cordierites,,170
573,Diplocarpa,,170
574,Diplolaeviopsis,,170
575,Midotiopsis,,170
576,Skyttea,,170
577,Unguiculariopsis,,170
578,Akanthomyces,,171
579,Beauveria,,171
580,Blackwellomyces,,171
581,Cordyceps,,171
582,Engyodontium,,171
583,Flavocillium,,171
584,Gibellula,,171
585,Hevansia,,171
586,Isaria,,171
587,Lecanicillium,,171
588,Leptobacillium,,171
589,Parengyodontium,,171
590,Rotiferophthora,,171
591,Simplicillium,,171
592,Torrubiella,,171
593,Corticium,,172
594,Laetisaria,,172
595,Leptocorticium,,172
596,Lyomyces,,172
597,Marchandiomyces,,172
598,Necator,,172
599,Waitea,,172
600,Aureonarius,,173
601,Calonarius,,173
602,Cortinarius,フウセンタケ属,173
603,Cystinarius,,173
604,Phlegmacium,,173
605,Protoglossum,,173
606,Thaxterogaster,,173
607,Coryneum,,174
608,Caliciopsis,,175
609,Corynelia,,175
610,Corynespora,,176
611,Crepidotus,,177
612,Simocybe,,177
613,Cronartium,,178
614,Peridermium,,178
615,Quasipucciniastrum,,178
616,Cryphonectria,,179
617,Endothia,,179
618,Endothiella,,179
619,Microthia,,179
620,Acaromyces,,180
621,Clinoconidium,,180
622,Cryptococcus,,181
623,Dioszegia,,181
624,Kwoniella,,181
625,Cryptocoryneum,,182
626,Cucurbitaria,,183
627,Curreya,,183
628,Neocucurbitaria,,183
629,Pyrenochaeta,,183
630,Pyrenochaetopsis,,183
631,Cudonia,,184
632,Pachycudonia,,184
633,Spathularia,,184
634,Spathulariopsis,,184
635,Cuniculitrema,,185
636,Fellomyces,,185
637,Kockovaella,,185
638,Absidia,,186
639,Cunninghamella,,186
640,Gongronella,,186
641,Cyclothyriella,,187
642,Cylindrium,,188
643,Cylindrosympodium,,189
644,Sympodiella,,189
645,Chondrostereum,,190
646,Cyphella,,190
647,Gloeostereum,,190
648,Granulobasidium,,190
649,Anthopsis,,191
650,Cyphellophora,,191
651,Cystobasidium,,192
652,Cystofilobasidium,,193
653,Calocera,,194
654,Dacrymyces,,194
655,Dacryopinax,,194
656,Dacryoscyphus,,194
657,Dendrodacrys,,194
658,Ditiola,,194
659,Femsjonia,,194
660,Guepiniopsis,,194
661,Heterotextus,,194
662,Gloeocystidium,,195
663,Jahnoporus,,195
664,Osteina,,195
665,Postia,,195
666,Ptychogaster,,195
667,Spongiporus,,195
668,Paruephaedria,,196
669,Pseudobactrodesmium,,196
670,Dichocladosporium,,197
671,Candida,,198
672,Hyphopichia,,198
673,Meyerozyma,,198
674,Millerozyma,,198
675,Peterozyma,,198
676,Priceomyces,,198
677,Scheffersomyces,,198
678,Yamadazyma,,198
679,Coleophoma,,199
680,Cryptosporiopsis,,199
681,Dermea,,199
682,Everhartia,,199
683,Monostichella,,199
684,Neofabraea,,199
685,Pezicula,,199
686,Phlyctema,,199
687,Podophacidium,,199
688,Rhizodermea,,199
689,Trichosporiella,,199
690,Diaporthe,,200
691,Mazzantia,,200
692,Phaeocytostroma,,200
693,Phomopsis,,200
694,Allocryptovalsa,,201
695,Cryptovalsa,,201
696,Diatrype,,201
697,Diatrypella,,201
698,Eutypa,,201
699,Eutypella,,201
700,Monosporascus,,201
701,Paraeutypella,,201
702,Peroneutypa,,201
703,Peroneutypella,,201
704,Phaeoisaria,,201
705,Dictyocheirospora,,202
706,Dictyosporium,,202
707,Gregarithecium,,202
708,Pseudocoleophoma,,202
709,Ascochyta,,203
710,Boeremia,,203
711,Didymella,,203
712,Epicoccum,,203
713,Leptosphaerulina,,203
714,Microsphaeropsis,,203
715,Neoascochyta,,203
716,Paraboeremia,,203
717,Peyronellaea,,203
718,Phoma,,203
719,Remotididymella,,203
720,Stagonosporopsis,,203
721,Cytoplea,,204
722,Didymosphaeria,,204
723,Montagnula,,204
724,Neokalmusia,,204
725,Paraconiothyrium,,204
726,Paraphaeosphaeria,,204
727,Pseudopithomyces,,204
728,Verruculina,,204
729,Astraeus,,205
730,Diplogelasinospora,,206
731,Dipodascus,,207
732,Geotrichum,,207
733,Magnusiomyces,,207
734,Saprochaete,,207
735,Trichosporon,,207
736,Yarrowia,,207
737,Discina,,208
738,Gyromitra,,208
739,Hydnotrya,,208
740,Maublancomyces,,208
741,Gyoerffyella,,209
742,Lemonniera,,209
743,Pezoloma,,209
744,Varicosporium,,209
745,Adisciso,,210
746,Discosia,,210
747,Distoseptispora,,211
748,Diversispora,,212
749,Burrillia,,213
750,Doassansia,,213
751,Nannfeldtiomyces,,213
752,Doassansiopsis,,214
753,Dothidea,,215
754,Gonatobotryum,,215
755,Stylodothis,,215
756,Vestergrenia,,215
757,Pleiochaeta,,216
758,Hormonema,,217
759,Japonia,,217
760,Sydowia,,217
761,Yoshinagaia,,217
762,Diplocarpon,,218
763,Drepanopeziza,,218
764,Gloeosporium,,218
765,Leptotrochila,,218
766,Marssonina,,218
767,Pseudopeziza,,218
768,Sporonema,,218
769,Eballistra,,219
770,Amylostereum,,220
771,Echinodontiellum,,220
772,Echinodontium,,220
773,Larssoniporia,,220
774,Elaphomyces,,221
775,Pseudotulostoma,,221
776,Elixia,,222
777,Elsinoe,,223
778,Sphaceloma,,223
779,Endogone,,224
780,Jimgerdemannia,,224
781,Vinositunica,,224
782,Endoraecium,,225
783,Ontotelium,,225
784,Clypeolella,,226
785,Rhytidenglerula,,226
786,Clitocella,,227
787,Clitopilus,,227
788,Entocybe,,227
789,Entoloma,イッポンシメジ属,227
790,Rhodocybe,,227
791,Rhodophana,,227
792,Entomophaga,,228
793,Entomophthora,,228
794,Erynia,,228
795,Massospora,,228
796,Pandora,,228
797,Juncorrhiza,,229
798,Entrophospora,,230
799,Entyloma,,231
800,Entylomella,,231
801,Tilletiopsis,,231
802,Eocronartium,,232
803,Herpobasidium,,232
804,Epibryon,,233
805,Eremothecium,,234
806,Blumeria,,235
807,Cystotheca,,235
808,Erysiphe,,235
809,Fibroidium,,235
810,Golovinomyces,,235
811,Leveillula,,235
812,Microsphaera,,235
813,Neoerysiphe,,235
814,Oidium,,235
815,Parauncinula,,235
816,Phyllactinia,,235
817,Pleochaeta,,235
818,Podosphaera,,235
819,Pseudoidium,,235
820,Sawadaea,,235
821,Sphaerotheca,,235
822,Bannoa,,236
823,Erythrobasidium,,236
824,Dendrostoma,,237
825,Exobasidium,,239
826,Fibroporia,,240
827,Filobasidium,,241
828,Goffeauzyma,,241
829,Naganishia,,241
830,Syzygospora,,241
831,Fistulina,,242
832,Antherospora,,243
833,Antrodia,,244
834,Auriporia,,244
835,Brunneoporus,,244
836,Buglossoporus,,244
837,Climacocystis,,244
838,Daedalea,,244
839,Fomitopsis,,244
840,Neoantrodia,,244
841,Niveoporofomes,,244
842,Pilatoporus,,244
843,Piptoporellus,,244
844,Ranadivia,,244
845,Resinoporia,,244
846,Rhodofomes,,244
847,Rhodofomitopsis,,244
848,Wolfiporia,,244
849,Fuscidea,,245
850,Maronea,,245
851,Orphniospora,,245
852,Fuscostagonospora,,246
853,Gallacea,,247
854,Sanguinoderma,,248
855,Gastrosporium,,249
856,Geastrum,ツチグリ属,250
857,Nidulariopsis,,250
858,Sphaerobolus,,250
859,Ascocoryne,,251
860,Ascotremella,,251
861,Chloroscypha,,251
862,Neobulgaria,,251
863,Ombrophila,,251
864,Cinereomyces,,252
865,Basidioascus,,253
866,Geoglossum,,254
867,Glutinoglossum,,254
868,Hemileucoglossum,,254
869,Sarcoleotia,,254
870,Spatularia,,254
871,Trichoglossum,,254
872,Jamesdicksonia,,255
873,Dentiscutata,,256
874,Gigaspora,,256
875,Scutellospora,,256
876,Gjaerumia,,257
877,Boreostereum,,258
878,Gloeophyllum,,258
879,Neolentinus,,258
880,Osmoporus,,258
881,Veluticeps,,258
882,Funneliformis,,259
883,Glomus,,259
884,Rhizophagus,,259
885,Colletotrichum,,260
886,Glomerella,,260
887,Haplothecium,,260
888,Vermicularia,,260
889,Sorosporium,,261
890,Thecaphora,,261
891,Cenococcum,,262
892,Glonium,,262
893,Psiloglonium,,262
894,Purpurepithecium,,262
895,Apiognomonia,,263
896,Asteroma,,263
897,Bagcheea,,263
898,Cryptodiaporthe,,263
899,Cryptosporella,,263
900,Discula,,263
901,Ditopella,,263
902,Gnomonia,,263
903,Mamiania,,263
904,Mamianiella,,263
905,Ophiognomonia,,263
906,Plagiostoma,,263
907,Ascocalyx,,264
908,Godronia,,264
909,Gremmeniella,,264
910,Golubevia,,265
911,Gautieria,,266
912,Gloeocantharellus,,266
913,Gomphus,,266
914,Phaeoclavulina,,266
915,Ramaria,,266
916,Terenodon,,266
917,Turbinellus,,266
918,Chroogomphus,,267
919,Gomphidius,,267
920,Aderkomyces,,268
921,Aulaxina,,268
922,Echinoplaca,,268
923,Gyalectidium,,268
924,Gyalidea,,268
925,Gyalideopsis,,268
926,Tricharia,,268
927,Gonapodya,,269
928,Acanthothecis,,270
929,Allographa,,270
930,Anomomorpha,,270
931,Carbacanthographis,,270
932,Chroodiscus,,270
933,Diorygma,,270
934,Diploschistes,,270
935,Fissurina,,270
936,Glyphis,,270
937,Graphina,,270
938,Graphis,,270
939,Halegrapha,,270
940,Hemithecium,,270
941,Leiorreuma,,270
942,Leucodecton,,270
943,Myriotrema,,270
944,Ocellularia,,270
945,Pallidogramme,,270
946,Phaeographina,,270
947,Phaeographis,,270
948,Phaeotrema,,270
949,Platygramme,,270
950,Platythecium,,270
951,Pliariona,,270
