taxon_key,species_key,scientific_name,source,name
2522143,2522137,Hydnum melaleucum Sw. ex Fr.,gbif,クリハリタケ
2522143,2522137,Hydnum melaleucum Sw. ex Fr.,gbif,チャボハリタケ
2522144,2522137,Hydnum albonigrum Peck,db,クサハリタケ
2522144,2522137,Hydnum albonigrum Peck,gbif,クサハリタケ
2522144,2522137,Hydnum albonigrum Peck,gbif,クリハリタケ
2522144,2522137,Hydnum albonigrum Peck,gbif,チャボハリタケ
2522145,2522137,Calodon graveolens (Pers.) Quél.,db,クサハリタケ
2522145,2522137,Calodon graveolens (Pers.) Quél.,gbif,クサハリタケ
2522145,2522137,Calodon graveolens (Pers.) Quél.,gbif,クリハリタケ
2522145,2522137,Calodon graveolens (Pers.) Quél.,gbif,チャボハリタケ
2522148,2553685,Hydnum delicatum Klotzsch ex Berk.,db,オロシタケ
2522148,2553685,Hydnum delicatum Klotzsch ex Berk.,gbif,オロシタケ
2522161,2522158,Hydnum amicum Quél.,db,フクリンハリタケ
2522161,2522158,Hydnum amicum Quél.,gbif,フクリンハリタケ
2522164,2522158,Calodon amicus (Quél.) Quél.,db,フクリンハリタケ
2522164,2522158,Calodon amicus (Quél.) Quél.,gbif,フクリンハリタケ
2522171,2522171,Phellodon tomentosus (L.) Banker,db,ジョウゴハリタケ
2522171,2522171,Phellodon tomentosus (L.) Banker,gbif,ジョウゴハリタケ
2522174,2522171,Hydnum cyathiforme Schaeff.,db,ジョウゴハリタケ
2522174,2522171,Hydnum cyathiforme Schaeff.,gbif,ジョウゴハリタケ
2522192,2522192,Phellodon niger (Fr.) P.Karst.,db,クロハリタケ
2522192,2522192,Phellodon niger (Fr.) P.Karst.,gbif,クロハリタケ
2522196,2522192,Hydnum nigrum Fr.,db,クロハリタケ
2522196,2522192,Hydnum nigrum Fr.,gbif,クロハリタケ
2522203,2522203,Hydnellum suaveolens (Scop.) P.Karst.,db,ニオイハリタケ
2522203,2522203,Hydnellum suaveolens (Scop.) P.Karst.,gbif,ニオイハリタケ
2522206,2522203,Calodon suaveolens (Scop.) P.Karst.,db,ニオイハリタケ
2522206,2522203,Calodon suaveolens (Scop.) P.Karst.,gbif,ニオイハリタケ
2522229,2522229,Hydnellum ferrugineum (Fr.) P.Karst.,db,アカノシズクハリタケ
2522229,2522229,Hydnellum ferrugineum (Fr.) P.Karst.,gbif,アカノシズクハリタケ
2522245,2522245,Hydnellum caeruleum (Hornem.) P.Karst.,db,ニオイハリタケモドキ
2522245,2522245,Hydnellum caeruleum (Hornem.) P.Karst.,gbif,ニオイハリタケモドキ
2522259,2522259,Hydnellum concrescens (Pers.) Banker,db,オオチャハリタケ
2522259,2522259,Hydnellum concrescens (Pers.) Banker,gbif,チャハリタケ
2522261,2522259,Hydnum concrescens Pers.,db,オオチャハリタケ
2522261,2522259,Hydnum concrescens Pers.,gbif,チャハリタケ
2522267,2522259,Phaeodon zonatus (Batsch) J.Schröt.,db,オオチャハリタケ
2522267,2522259,Phaeodon zonatus (Batsch) J.Schröt.,gbif,チャハリタケ
2522275,2522259,Hydnum zonatum Batsch,db,オオチャハリタケ
2522275,2522259,Hydnum zonatum Batsch,gbif,チャハリタケ
2522277,2522259,Calodon zonatus (Batsch) P.Karst.,db,オオチャハリタケ
2522277,2522259,Calodon zonatus (Batsch) P.Karst.,gbif,チャハリタケ
2522291,2522291,Hydnellum aurantiacum (Batsch) P.Karst.,db,キハリタケ
2522291,2522291,Hydnellum aurantiacum (Batsch) P.Karst.,gbif,キハリタケ
2522296,2522291,Hydnum aurantiacum (Batsch) Alb. & Schwein.,db,キハリタケ
2522296,2522291,Hydnum aurantiacum (Batsch) Alb. & Schwein.,gbif,キハリタケ
2522299,2522291,Phaeodon aurantiacus (Batsch) J.Schröt.,db,キハリタケ
2522299,2522291,Phaeodon aurantiacus (Batsch) J.Schröt.,gbif,キハリタケ
2522373,5238865,Hydnum imbricatum L.,db,カノハナ
2522378,5238866,Hydnum blackfordiae Peck,db,オリーブハリタケ
2522387,9854176,Hydnum scabrosum Fr.,gbif,ケロウジ
2522432,5238865,Hydnum aspratum Berk.,db,カノハナ
2522872,2522872,Thelephora multipartita Schwein.,db,キブリイボタケ
2522872,2522872,Thelephora multipartita Schwein.,gbif,キブリイボタケ
2522896,2522896,Thelephora anthocephala (Bull.) Fr.,db,トサカイボタケ
2522907,2522907,Thelephora palmata (Scop.) Fr.,db,モミジタケ
2522935,2522935,Thelephora terrestris Ehrh.,db,イボタケ
2522955,2522955,Thelephora aurantiotincta Corner,db,ボタンイボタケ
2522955,2522955,Thelephora aurantiotincta Corner,gbif,ボタンイボタケ
2522972,2555667,Thelephora nigrescens Schrad.,db,シロペンキタケ
2522972,2555667,Thelephora nigrescens Schrad.,gbif,シロペンキタケ
2522983,2522983,Thelephora vialis Schwein.,db,ツブイボタケ
2522983,2522983,Thelephora vialis Schwein.,gbif,ツブイボタケ
2522985,2522983,Phylacteria vialis (Schwein.) Pat.,db,ツブイボタケ
2522985,2522983,Phylacteria vialis (Schwein.) Pat.,gbif,ツブイボタケ
2522991,2522991,Polyozellus multiplex (Underw.) Murrill,db,カラスタケ
2522991,2522991,Polyozellus multiplex (Underw.) Murrill,gbif,カラスタケ
2523052,2523052,Brevicellicium olivascens (Bres.) K.H.Larss. & Hjortstam,db,マルミノコツブコウヤクタケ
2523052,2523052,Brevicellicium olivascens (Bres.) K.H.Larss. & Hjortstam,gbif,マルミノコツブコウヤクタケ
2523138,2523138,Trechispora farinacea (Pers.) Liberta,db,トゲミノコウヤクタケ
2523138,2523138,Trechispora farinacea (Pers.) Liberta,gbif,トゲミノコウヤクタケ
2523300,2523300,Resinicium bicolor (Alb. & Schwein.) Parmasto,db,ハリタケモドキ
2523300,2523300,Resinicium bicolor (Alb. & Schwein.) Parmasto,gbif,ハリタケモドキ
2523431,5239325,Fomes connatus (Weinm.) Gillet,db,シロサルノコシカケ
2523477,9105286,Gerronema fibula (Bull.) Singer,db,ヒナノヒガサ
2523477,9105286,Gerronema fibula (Bull.) Singer,gbif,ヒナノヒガサ
2523482,9105286,Marasmiellus fibula (Bull.) Singer,db,ヒナノヒガサ
2523482,9105286,Marasmiellus fibula (Bull.) Singer,gbif,ヒナノヒガサ
2523510,2523510,Cotylidia komabensis (Henn.) D.A.Reid,db,サギウロコタケ
2523510,2523510,Cotylidia komabensis (Henn.) D.A.Reid,gbif,サギウロコタケ
2523512,2523510,Thelephora komabensis Henn.,db,サギウロコタケ
2523512,2523510,Thelephora komabensis Henn.,gbif,サギウロコタケ
2523514,2523510,Stereum albidum Lloyd,db,サギウロコタケ
2523514,2523510,Stereum albidum Lloyd,gbif,サギウロコタケ
2523515,2523515,Cotylidia diaphana (Cooke) Lentz,db,シロウロコタケ
2523517,2523515,Stereum diaphanum Cooke,db,シロウロコタケ
